2023-04-09 18:56:50,978,너 이름이 뭐야,장소,도서관 번호가 뭐야,번호,0
2023-04-09 18:57:10,209,랩실 위치가 어디야?,장소,학사 위치 어디야,장소,0.34222787618637085
2023-04-09 19:07:04,019,컴공 학사 위치,시간,컴공 학과사무실 번호,번호,0
2023-04-09 19:07:23,232,김태공교수님 방 위치,장소,김태공 교수님 방 위치 알려줘,장소,0.4202112853527069
2023-04-09 19:07:39,834,컴공 동아리방 위치,장소,컴공 랩실은 어디야,장소,0.39711230993270874
2023-04-09 19:07:51,060,컴공 동아리방이 어디야,장소,컴공 랩실은 어디야,장소,0.5739955902099609
2023-04-09 19:08:11,604,컴공 학사 위치,시간,컴공 학과사무실 번호,번호,0
2023-04-12 23:21:11,301,컴공의 전망이 어때?,질문,컴공 랩실은 어디야,장소,0
2023-04-12 23:21:34,225,컴공의 진출 분야,질문,컴공 학과사무실 번호,번호,0
2023-04-12 23:21:45,104,컴퓨터공학부의 진출 분야,컴공관련,컴퓨터공학부 랩실은 어디야,장소,0
2023-04-12 23:21:53,609,컴공 취업 진출 분야,장소,컴퓨터공학 사이트 주소,번호,0
2023-04-12 23:22:03,625,컴퓨터공학부 취업 진출 분야,컴공관련,컴퓨터공학 사이트 주소,번호,0
2023-04-12 23:22:16,523,컴퓨터공학부란?,컴공관련,컴퓨터공학부 학사 번호,번호,0
2023-04-12 23:23:34,056,5월 학사일정,질문,5월 학사일정 알려줘,시간,0
2023-04-12 23:23:42,122,5월 학사일정 알려줘,질문,5월 학사일정 알려줘,시간,0
2023-04-12 23:24:33,401,3월 학사일정,질문,3월 학사일정 알려줘,시간,0
2023-04-12 23:29:12,192,순환버스 알려줘,장소,순환버스 운행 시간 알려줘,시간,0
2023-04-12 23:29:35,126,4월 학사일정 알려줘,질문,4월 학사일정 알려줘,시간,0
